store_slug;leaflet_id;leaflet_url;endpoint_url;source_page_url
auchan;501438;https://blix.pl/sklep/auchan/gazetka/501438/;https://blix.pl/getleaflet/auchan/501438/;https://blix.pl/sklep/auchan/
auchan;501435;https://blix.pl/sklep/auchan/gazetka/501435/;https://blix.pl/getleaflet/auchan/501435/;https://blix.pl/sklep/auchan/
auchan;501426;https://blix.pl/sklep/auchan/gazetka/501426/;https://blix.pl/getleaflet/auchan/501426/;https://blix.pl/sklep/auchan/
auchan;501423;https://blix.pl/sklep/auchan/gazetka/501423/;https://blix.pl/getleaflet/auchan/501423/;https://blix.pl/sklep/auchan/
auchan;501129;https://blix.pl/sklep/auchan/gazetka/501129/;https://blix.pl/getleaflet/auchan/501129/;https://blix.pl/sklep/auchan/
auchan;500334;https://blix.pl/sklep/auchan/gazetka/500334/;https://blix.pl/getleaflet/auchan/500334/;https://blix.pl/sklep/auchan/
auchan;500331;https://blix.pl/sklep/auchan/gazetka/500331/;https://blix.pl/getleaflet/auchan/500331/;https://blix.pl/sklep/auchan/
auchan;500277;https://blix.pl/sklep/auchan/gazetka/500277/;https://blix.pl/getleaflet/auchan/500277/;https://blix.pl/sklep/auchan/
auchan;500271;https://blix.pl/sklep/auchan/gazetka/500271/;https://blix.pl/getleaflet/auchan/500271/;https://blix.pl/sklep/auchan/
auchan;499776;https://blix.pl/sklep/auchan/gazetka/499776/;https://blix.pl/getleaflet/auchan/499776/;https://blix.pl/sklep/auchan/
auchan;498702;https://blix.pl/sklep/auchan/gazetka/498702/;https://blix.pl/getleaflet/auchan/498702/;https://blix.pl/sklep/auchan/
auchan;498309;https://blix.pl/sklep/auchan/gazetka/498309/;https://blix.pl/getleaflet/auchan/498309/;https://blix.pl/sklep/auchan/
auchan;497160;https://blix.pl/sklep/auchan/gazetka/497160/;https://blix.pl/getleaflet/auchan/497160/;https://blix.pl/sklep/auchan/
auchan;497154;https://blix.pl/sklep/auchan/gazetka/497154/;https://blix.pl/getleaflet/auchan/497154/;https://blix.pl/sklep/auchan/
auchan;497151;https://blix.pl/sklep/auchan/gazetka/497151/;https://blix.pl/getleaflet/auchan/497151/;https://blix.pl/sklep/auchan/
biedronka;502785;https://blix.pl/sklep/biedronka/gazetka/502785/;https://blix.pl/getleaflet/biedronka/502785/;https://blix.pl/sklep/biedronka/
biedronka;502440;https://blix.pl/sklep/biedronka/gazetka/502440/;https://blix.pl/getleaflet/biedronka/502440/;https://blix.pl/sklep/biedronka/
biedronka;502425;https://blix.pl/sklep/biedronka/gazetka/502425/;https://blix.pl/getleaflet/biedronka/502425/;https://blix.pl/sklep/biedronka/
biedronka;502398;https://blix.pl/sklep/biedronka/gazetka/502398/;https://blix.pl/getleaflet/biedronka/502398/;https://blix.pl/sklep/biedronka/
